name,category,country,city,genre,stream_url,logo_url,source_url,language,stationuuid
Bright.FM Plus,gospel,,,"christian,dutch,netherlands",http://str1.hollanddata.eu:8006/stream,https://www.bright.fm/wp-content/uploads/2016/08/cropped-bright.fm-ico-270x270.png,https://www.bright.fm/plus/,dutch,4f2b540b-031d-11ea-bbf2-52543be04c81
EWTN - Radio Católica Mundial,gospel,,,"catholic,christian,religious",https://ewtn-ice.streamguys1.com/spanish-aac,https://www.ewtn.com/img/favicons/favicon-128x128.png,https://www.ewtn.com/espanol/radio/index.asp,spanish,a5ded034-64d0-11ea-be63-52543be04c81
EWTN Catholic Radio,gospel,,,"catholic,christian,christianity",https://ewtn-ice.streamguys1.com/english-aac,https://www.ewtn.com/img/favicons/favicon-128x128.png,https://www.ewtn.com/,english,ab1a66a3-40ac-11ea-a9fa-52543be04c81
KHNC 1360 AM,gospel,,Colorado,"christian,conservative,conspiracy,religious,talk",http://streamingv2.shoutcast.com/AmericanFreedomNetwork?sid=1,https://1360khnc.com/wp-content/themes/1360khnc/favicon.png,https://1360khnc.com/,english,5f7378a8-b489-11ea-993a-52543be04c81
Life Channel,gospel,,,"browserfriendly,christian",https://stream1.lifechannel.ch/LIFECHANNEL,https://radio.lifechannel.ch/favicon.ico,https://radio.lifechannel.ch/,"german,swiss german",e50bf0ca-4aeb-4f5f-b0ad-6a57955afb7e
RADIO MARIA LESOTHO,gospel,,,"catholic,christian,religion,talk",http://dreamsiteradiocp5.com:8038/stream,http://www.radiomaria.org/favicon.ico,http://www.radiomaria.org/de/,,bc478918-7bd4-11e9-aa30-52543be04c81
El Hacedor Radio Online,gospel,Argentina,,"bible,cristiana,gospel,religious",https://stream.zeno.fm/f7vpqramxrhvv,https://cdn.onlineradiobox.com/img/l/1/128341.v1.png,https://www.elhacedoriglesia.com.ar/radionline/,spanish,0a4ef382-56a6-4dca-a5af-262b9bd952fa
FM Cristo Rey 105.1,gospel,Argentina,,"bible,cristiana,evangelio,gospel,religious",https://stream.zeno.fm/ujs4w68jh93uv,https://zenoimages.s3.us-west-001.backblazeb2.com/3d70f63c-5d98-4af5-b5ec-0654fc896e9f/cards/d8fe54c4-3ab8-4e97-b90a-8238d5a16287 ,https://zeno.fm/radio/fm-cristo-rey/,spanish,daf36a59-865c-4d4e-85a5-628aa0abfa3b
PreNicene Radio (Icecast),gospel,Argentina,Rio Negro,"christian,history,marcion,prenicene,talk",https://fra-pioneer01.dedicateware.com:2135/stream,https://pre-nicene.org/images/favicon.ico,https://pre-nicene.org/PreNicene-Radio.html,american english,57ccac7b-1268-4d1f-bb4c-db9850ba8d9b
Radio Cadena Sol 106.5 FM,gospel,Argentina,San Salvador de Jujuy,"bible,cristiana,evangelio,gospel,musica cristiana,religious",http://www.genexservicios.com:8294/;,http://radiocadenasol.com/img/logo-web.png,http://radiocadenasol.com/,spanish,d5d435af-f324-449c-86d5-cea88f7e16d2
Radio Cristiana FM 88.3,gospel,Argentina,,"bible,cristiana,evangelio,gospel,radio hablada,religious",https://rr5100.globalhost1.com/8540/;,https://www.radiocristiana883.com.ar/splash.jpg,https://www.radiocristiana883.com.ar/,spanish,94d3aa00-b246-48d9-9089-7c9b762f3156
Radio el buen samaritano 101.7 FM,gospel,Argentina,,"bible,cristiana,evangelio,gospel,religious",https://radios.solumedia.com:10903/stream,https://www.iglesiaelbuensamaritano.com.ar/wp-content/uploads/2022/02/logo-menu.png,https://www.iglesiaelbuensamaritano.com.ar/radio-online/,spanish,a42e0e04-abaa-4dec-b8be-cde24cf13113
Radio Emanuel FM 88.9,gospel,Argentina,,"bible,cristiana,evangelio,gospel,religious",https://rr5100.globalhost1.com/8546/;,https://elkyrios.net/radio/images/logo_th.png,https://elkyrios.net/radio/,spanish,8fd81612-93df-45cb-ae6d-f2ccdbe05c8a
105.1 Rhema Wide Bay,gospel,Australia,,"christian,community",https://sx.desertcrystal.com/live32plus,null,https://www.rhema.fm/,english,6010f5db-0144-40b7-9fed-55c0918e046c
107.9 LIFE Adelaide,gospel,Australia,,"christian,community",https://stream04.sigile.net/1079life-64-aac,null,https://mylifefm.com/,english,5afef9ef-3b92-4f8a-83b5-0eea3f54b059
3ABN Australia Radio,gospel,Australia,New South Wales,gospel,https://stream.3abnaustralia.org.au:8443/stream,https://www.3abnaustralia.org.au/favicon.ico,https://www.3abnaustralia.org.au/,english,aee3c144-cdbf-4290-be40-7418849fe3ae
"7WAY 105.3 Way FM - Launceston, TAS",gospel,Australia,Tasmania,"christian,faith",https://stream2.cnmns.net/wayfm-mp3,https://www.wayfm.org.au/wp-content/uploads/2019/09/cropped-WayFmNewLogoLandScape-site-icon.jpg,https://www.wayfm.org.au/,,b1d16efa-da8c-4248-8949-74f5053dacd6
89.9 TheLight,gospel,Australia,victoria,"christian,easy listening,music,pop,positive,religious,rock",https://stream.thelight.com.au:8130/stream/,https://thelight.com.au/assets/uploads/2020/03/Youtube-icon.png,https://thelight.com.au/,english,b6a490e8-f498-4a7c-b024-607b3d997614
92.3FM 4TVR Mareeba,gospel,Australia,,"christian,community",https://listen.923.com.au:13098/stream.mp3,null,https://923.com.au/,english,f2ccbce9-c4e5-4e09-8058-4485cf6a2e4b
