name,category,country,city,genre,stream_url,logo_url,source_url
Rádio Mix 106.3 FM,Brasil • Português • Hard Rock,Brazil,Sao Paulo,"chr,pop-rock,youth",https://playerservices.streamtheworld.com/api/livestream-redirect/MIXFM_SAOPAULOAAC.aac,https://img.radios.com.br/radio/lg/radio13955_1720711597.png,https://aovivo.radiomixfm.com.br/
89 FM A Rádio Rock Goiânia,Brasil • Português • Hard Rock,Brazil,Goiás,"classic rock,hard rock,rock",https://ice.fabricahost.com.br/89aradiorockgo,https://89goiania.com.br/wp-content/uploads/2024/07/icone_89.png,https://89goiania.com.br/
Radio Jovem Pan 99.1 FM Belo Horizonte,Brasil • Português • Hard Rock,Brazil,Minas Gerais,"90s,pop,rock",https://8062.brasilstream.com.br//stream?origem=jovem_pan_site,https://s.jpimg.com.br/wp-content/themes/jovempan/assets/build/images/favicons/favicon-32x32.png,https://jovempan.com.br/afiliada/bh-fm
89 A Radio Rock,Brasil • Português • Hard Rock,Brazil,São Paulo,"alternative rock,rock",https://playerservices.streamtheworld.com/api/livestream-redirect/RADIO_89FM_ADP.aac?dist=site-89fm,,https://www.radiorock.com.br/
Jovem Pan FM - Florianópolis - SC,Brasil • Português • Hard Rock,Brazil,Santa Catarina,"chr,contemporary hits radio,dance,electronic dance music,jovem,jovem pan,pop,pop rock,top 40",https://live.paineldj.com.br/proxy/jfloripa?mp=/stream,https://jpimg.com.br/uploads/2024/02/avatar-florianopolis-rgb-500x500.png,https://jovempan.com.br/afiliada/floripa-fm
Kiss FM - 92.5 - São Paulo,Brasil • Português • Hard Rock,Brazil,São Paulo,rock,https://26593.live.streamtheworld.com/RADIO_KISSFM_ADP.aac,,https://kissfm.com.br/aovivo/
Rádio Cidade - Rio de Janeiro - 102.9 FM - ZYD462,Brasil • Português • Hard Rock,Brazil,Rio de Janeiro,"brazilian rock,classic rock,hot adult contemporary,soft rock",https://playerservices.streamtheworld.com/api/livestream-redirect/RADIOCIDADEAAC.aac,,https://radiocidade.fm/
Bons Tempos FM,Brasil • Português • Hard Rock,Brazil,,"nostalgia,nostalgic,rock,romantic",https://server02.ouvir.radio.br:8050/stream?1609720768800,https://static.radios.com.br/img/apple-touch-icon.png,https://www.radios.com.br/aovivo/bons-tempos-fm/37027
Rádio Studio Flashback,Brasil • Português • Hard Rock,Brazil,Minas Gerais,"00's,00s,2000's,2000s,70's,70s,80's,80s,90's,90s,adult contemporary,adult hits,classic hits,classic rock,classics,flash back,flashback,love songs,new classics,oldies,pop,romantic",https://stream-163.zeno.fm/6gv76f1xruquv?zs=SvdWy-tsTtCXPZ9IZC0ASA,https://pbs.twimg.com/media/GE7jNgZWQAEcxNb?format=png&name=240x240,https://studioflashback.com.br/
012 Rock News,Brasil • Português • Hard Rock,Brazil,Sao Paulo (Brazil),,http://9881.brasilstream.com.br/stream,https://www.012news.com.br/wp-content/uploads/2022/07/novo-logo1.png,https://www.012news.com.br/
Rede Grauna FM,Brasil • Português • Hard Rock,Brazil,Bahia,"brasil,local news,mpb,música popular brasileira,pop rock,various",https://centova11.ipstm.net:20032/stream,,https://www.graunafm.com.br/
"Massa FM 101,1 (Ponta Grossa - PR)",Brasil • Português • Hard Rock,Brazil,PR,"pop music,pop rock,sertanejo,sertanejo raiz",https://live.virtualcast.com.br/massapontagrossa,https://tudoradio.com/img/uploads/radios/radio_massafmpontagrossa.png,https://massa.com.br/massa-fm-ponta-grossa/
BR - The Classic Rock,Brasil • Português • Hard Rock,Brazil,Minas Gerais,"classic rock,hard rock,heavy metal,oldies,rock",https://stream.zeno.fm/nbq1aq62gd0uv,https://cdn.onlineradiobox.com/img/l/5/94775.v6.png,https://radiorockfm.com.br/br
"Jovem pan 100,9 FM feira de Santana",Brasil • Português • Hard Rock,Brazil,Bahia,"jovem,pop rock",https://8046.brasilstream.com.br/stream,https://www.radios.com.br/aovivo/radio-jovem-pan-1009-fm/13358,https://jovempan.com.br/afiliada/feiradesantana-fm
Jovem Pan FM - Brasília - DF - 106.3,Brasil • Português • Hard Rock,Brazil,Distrito Federal,"contemporary hits radio,jovem,jovem pan,pop,pop rock,top 40",https://shout25.crossradio.com.br:18022/1,https://jpimg.com.br/uploads/2022/12/afiliadas-brasilia-106.3-500x500.jpg,https://jovempan.com.br/afiliada/brasilia-fm
Radio AnimeNight,Brasil • Português • Hard Rock,Brazil,,"90s,anime,j-pop,japanese,japanese anime soundtracks game jpop vgm ost,japanese music,jpop,pop,rock",https://stm16.voxhd.com.br:10374/app128,https://www.animenight.com.br/logo.png,https://www.animenight.com.br/
98 Rock,Brasil • Português • Hard Rock,Brazil,Minas Gerais,rock,https://8185.brasilstream.com.br/stream,,https://rede98.com.br/
91 Rock - Curitiba (web),Brasil • Português • Hard Rock,Brazil,Parana,"brazilian rock,rock",http://servidor40.brlogic.com:8044/live,,https://91rock.com.br/
Só Cacarecos - Classic Rock,Brasil • Português • Hard Rock,Brazil,Rio de Janeiro,"classic rock,progressive rock,soft rock",http://sokakarecos.ddns.net:9030/rock128,,http://sokakarecos.com/
98 ROCK BRASIL,Brasil • Português • Hard Rock,Brazil,,,https://stm41.stmsrv.com:16614/stream?type=http&nocache=1897905694,https://cdn.stmsrv.com/multi/16614/logo_r1dbkqc.png,https://98rock.com.br/
Itapema 102.3 FM,Brasil • Português • Hard Rock,Brazil,Rio Grande do Sul,"blues,classic rock,jazz,rock,soft rock",https://liverd102fm.rbsdirect.com.br/primary/ita_poa.sdp/chunklist_0ac85862-caaa-446f-93bf-3e12816c36a0.m3u8,,https://1023.clicrbs.com.br/#!/home
Dixie Rebel,Brasil • Português • Hard Rock,Brazil,São Paulo,"blues rock,classic rock,rock & roll",https://servidor36.brlogic.com:8572/live,,https://www.dixierebel.com.br/
89FM Radio Rock,Brasil • Português • Hard Rock,Brazil,São Paulo,rock,https://playerservices.streamtheworld.com/api/livestream-redirect/RADIO_89FM_ADP.aac,,https://www.radiorock.com.br/
Rádio Bla Rock,Brasil • Português • Hard Rock,Brazil,São Paulo,classic rock,https://s12.maxcast.com.br:8086/live,,https://www.radiobla.com.br/
Mundo Livre FM,Brasil • Português • Hard Rock,Brazil,Curitiba,alternative rock,https://playerservices.streamtheworld.com/api/livestream-redirect/MUNDOLIVRE_CWBAAC_64.aac,https://mundolivrefm.com.br/wp-content/uploads/2021/10/27122403/cropped-mundo-livre-logo-180x180.jpg,https://mundolivrefm.com.br/
Rádio Ziggy - Rock Brasil (MP3),Brasil • Português • Hard Rock,Brazil,Minas Gerais,"brazilian music,rock",http://stream.zeno.fm/0y68rshdreruv,https://i.ibb.co/fYN5mfBr/94405-v2.jpg,https://ziggywebradio.wixsite.com/radioziggy
RADIO520,Brasil • Português • Hard Rock,Brazil,,"classic rock,country pop,dance music,pop rock,sports news",https://stm7.xcast.com.br:9182/index,,https://www.radio520.com.br/
Rádio Atlântida 94.3 FM - Porto Alegre,Brasil • Português • Hard Rock,Brazil,Rio Grande do Sul,"brazilian music,classic rock,rock,world music",https://playerservices.streamtheworld.com/api/livestream-redirect/RBS_RADIOSAAC.m3u8,https://upload.wikimedia.org/wikipedia/pt/5/53/Logotipo_da_Rede_Atl%C3%A2ntida.PNG,https://atl.clicrbs.com.br/
107 FM Tatuí,Brasil • Português • Hard Rock,Brazil,Sao Paulo,"local news,news,noticias,pop,rock",https://f108.fabricahost.com.br/107fm?f=1768440014N01KEZKTA1M1TPDQW0KTF63Z481&tid=01KEZKTA1MJQM48EZ7NP81GYVW,"https://static.wixstatic.com/media/37804f_ed9032a0826e40efa33fefcbf9fb882b~mv2.png/v1/fill/w_141,h_237,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/logo.png",https://www.107fm.net/
Radio Putzgrila,Brasil • Português • Hard Rock,Brazil,Rio Grande do Sul,"alternative rock,classic rock,rock n roll",https://stream.ouveai.com.br/proxy/putzgrila?mp=/stream,,https://radioputzgrila.com.br/site/
EldoPop FM,Brasil • Português • Hard Rock,Brazil,Rio de Janeiro,"hard rock,progressive rock",http://stm10.srvstm.com:34794/stream,http://eldopopfm.com/admin/assets/img/favicon.jpg,http://eldopopfm.com/
Radio Amigos do Rock Nacional,Brasil • Português • Hard Rock,Brazil,Sao Paulo (Brazil),,https://stm10.voxhd.com.br:7846/,https://www.wix.com/favicon.ico,https://leonelapantonellij.wixsite.com/website-3
Rock Classic Bits,Brasil • Português • Hard Rock,Brazil,"Santa Catarina, SC","blues,blues rock,classic rock,rock en español,soft rock",http://stm25.xcast.com.br:6862/,,https://gilbertohart.wixsite.com/rock-classic-bits
Rádio Escola de Rádio,Brasil • Português • Hard Rock,Brazil,Rio de Janeiro,"brazilian music,mpb,music school,pop,rio de janeiro,rock",https://radio.escoladeradio.com.br/listen/radio_er/radio.mp3,https://www.escoladeradio.com.br/radio-icon-512.png,https://www.escoladeradio.com.br/radio
