name,category,country,city,genre,stream_url,logo_url,source_url,language,countrycode,stationuuid
"Antena 1 São Paulo, SP (ZYD823 94,7 MHz FM) [aac]",Brasil • Português • Pop,Brazil,São Paulo,"adult contemporary,jazz,pop,smooth jazz",http://antena1.newradio.it/stream?ext=.mp3,,http://antena1.com.br/,Português,BR,963fa65f-0601-11e8-ae97-52543be04c81
Rádio Mix 106.3 FM,Brasil • Português • Pop,Brazil,Sao Paulo,"chr,pop-rock,youth",https://playerservices.streamtheworld.com/api/livestream-redirect/MIXFM_SAOPAULOAAC.aac,https://img.radios.com.br/radio/lg/radio13955_1720711597.png,https://aovivo.radiomixfm.com.br/,Português,BR,901c92bd-a757-449a-b8ce-652b079fd38a
Rádio Saudade FM 99.7,Brasil • Português • Pop,Brazil,"Santos, Sao Paulo (Brazil)","adult,classic hits,flashback",https://playerservices.streamtheworld.com/api/livestream-redirect/SAUDADE_FMAAC.aac,https://img.radios.com.br/radio/lg/radio8_1626274312.png,https://www.saudadefm.com.br/,Português,BR,5dcbb03d-423a-4f97-8af5-b95981094c69
Antena 1 FM 94.7 São Paulo,Brasil • Português • Pop,Brazil,São Paulo,"adult contemporary,lite",http://antena1.newradio.it/stream,https://www.antena1.com.br/apple-touch-icon.png,https://www.antena1.com.br/,Português,BR,531fced7-b22b-11e8-afe1-52543be04c81
Rádio Band FM 96.1 FM,Brasil • Português • Pop,Brazil,Sao Paulo,pop,https://playerservices.streamtheworld.com/api/livestream-redirect/BANDFM_SPAAC,https://img.radios.com.br/radio/lg/radio10358_1526480428.jpg,https://www.band.uol.com.br/band-fm,Português,BR,c8cfc213-6a39-4b45-b925-3c6acb3f8b68
Radio Jovem Pan 99.1 FM Belo Horizonte,Brasil • Português • Pop,Brazil,Minas Gerais,"90s,pop,rock",https://8062.brasilstream.com.br//stream?origem=jovem_pan_site,https://s.jpimg.com.br/wp-content/themes/jovempan/assets/build/images/favicons/favicon-32x32.png,https://jovempan.com.br/afiliada/bh-fm,Português,BR,2eb41659-1b7c-43e5-9b98-36634086a73c
Antena 1 FM 103.7 Rio de Janeiro,Brasil • Português • Pop,Brazil,Rio de Janeiro,"adult contemporary,lite",http://a1rj.streams.com.br:7801/stream,,https://www.antena1rio.com.br/,Português,BR,4534dd5f-b22a-11e8-afe1-52543be04c81
Rádio Transamérica Hits (Barreiras),Brasil • Português • Pop,Brazil,Barreiras,brazilian pop,http://servidor39.brlogic.com:8146/live,,http://www.radiotransamerica.com.br/hits/barreiras,Português,BR,963361ca-0601-11e8-ae97-52543be04c81
Rádio Cidade - Rio de Janeiro - 102.9 FM - ZYD462,Brasil • Português • Pop,Brazil,Rio de Janeiro,"brazilian rock,classic rock,hot adult contemporary,soft rock",https://playerservices.streamtheworld.com/api/livestream-redirect/RADIOCIDADEAAC.aac,,https://radiocidade.fm/,Português,BR,06da0d92-28c2-11e9-a80b-52543be04c81
Jovem Pan FM - Florianópolis - SC,Brasil • Português • Pop,Brazil,Santa Catarina,"chr,contemporary hits radio,dance,electronic dance music,jovem,jovem pan,pop,pop rock,top 40",https://live.paineldj.com.br/proxy/jfloripa?mp=/stream,https://jpimg.com.br/uploads/2024/02/avatar-florianopolis-rgb-500x500.png,https://jovempan.com.br/afiliada/floripa-fm,Português,BR,bf64595a-eed4-49de-94e5-87c1bb813a74
Rádio Studio Flashback,Brasil • Português • Pop,Brazil,Minas Gerais,"00's,00s,2000's,2000s,70's,70s,80's,80s,90's,90s,adult contemporary,adult hits,classic hits,classic rock,classics,flash back,flashback,love songs,new classics,oldies,pop,romantic",https://stream-163.zeno.fm/6gv76f1xruquv?zs=SvdWy-tsTtCXPZ9IZC0ASA,https://pbs.twimg.com/media/GE7jNgZWQAEcxNb?format=png&name=240x240,https://studioflashback.com.br/,Português,BR,c064c241-a2c2-4dd9-b889-b292535397fe
Rádio Cidade Maracaju 104.3 FM,Brasil • Português • Pop,Brazil,Mato Grosso do Sul,"chamame,ecletic,hits,sertanejo,sertanejo raiz",https://servidor33-5.brlogic.com:7078/live,https://public-rf-upload.minhawebradio.net/250444/logo/c9f6c0e472e2023c1d2cf8744f78a973.png,https://radiocidademaracaju.com.br/,Português,BR,35ac4203-2b03-4b57-93d6-3aeb5701d78f
"Antena 1 Rio de Janeiro, RJ (ZYD 463, 103,7 MHz FM)",Brasil • Português • Pop,Brazil,Rio de Janeiro,"adult contemporary,brazilian music,jazz,pop,smooth jazz",http://a1rj.streams.com.br:7801/sm,,http://www.antena1rio.com.br/,Português,BR,e7599368-1801-11e8-ae97-52543be04c81
"Mix Rio 102.1 Rio de Janeiro, RJ",Brasil • Português • Pop,Brazil,Rio de Janeiro,"brazilian pop,rio de janeiro,top 40",http://26563.live.streamtheworld.com:3690/MIXRIOAAC_SC,,http://mixriofm.uol.com.br/,Português,BR,96487106-0601-11e8-ae97-52543be04c81
"BH FM 102,1 MHz ZYC690 (Belo Horizonte - MG)",Brasil • Português • Pop,Brazil,Minas Gerais,"funk,internacional,nacional,pagode,pop,samba,sertanejo",https://playerservices.streamtheworld.com/api/livestream-redirect/BHFMAAC.aac,https://i.postimg.cc/ncT9hqH6/04008003142.png,https://bhfm.globo.com/,Português,BR,3998f9ae-ed80-4319-8109-0acb29efb256
"R.VALE VERDE FM 96,66",Brasil • Português • Pop,Brazil,,pop,https://ice.fabricahost.com.br/valeverdefm,https://valeverdefm.com.br/img/b1477f6674fb80a945ea178ecb46e51c.png,https://www.valeverdefm.com.br/,Português,BR,78b66dbe-5b3d-4966-8844-02a2eee24faf
Rede Grauna FM,Brasil • Português • Pop,Brazil,Bahia,"brasil,local news,mpb,música popular brasileira,pop rock,various",https://centova11.ipstm.net:20032/stream,,https://www.graunafm.com.br/,Português,BR,0f2ee084-9a81-40aa-a5a5-086fb2369c73
Clube FM 99.1,Brasil • Português • Pop,Brazil,Brasília,"hits,pop,popular",https://radio.saopaulo01.com.br:10913/stream,,http://www.clubepe.fm/,Português,BR,31d064a7-5452-4f7d-8d78-1f5784778f20
Radio AnimeNight,Brasil • Português • Pop,Brazil,,"90s,anime,j-pop,japanese,japanese anime soundtracks game jpop vgm ost,japanese music,jpop,pop,rock",https://stm16.voxhd.com.br:10374/app128,https://www.animenight.com.br/logo.png,https://www.animenight.com.br/,Português,BR,8f19d10d-5b9f-4120-964c-eebbb3745921
Rádio Globo 98.1 FM,Brasil • Português • Pop,Brazil,Rio de Janeiro,"discussions,interviews,popular,sports",https://24493.live.streamtheworld.com:443/RADIO_GLOBO_RJAAC.aac?dist=radioscombr,https://img.radios.com.br/radio/lg/radio8817_1676300226.png,https://radioglobo.globo.com/,Português,BR,1eaf6810-41de-4a43-827b-dcf8070748e5
"Massa FM 101,1 (Ponta Grossa - PR)",Brasil • Português • Pop,Brazil,PR,"pop music,pop rock,sertanejo,sertanejo raiz",https://live.virtualcast.com.br/massapontagrossa,https://tudoradio.com/img/uploads/radios/radio_massafmpontagrossa.png,https://massa.com.br/massa-fm-ponta-grossa/,Português,BR,45b2f3d4-b188-42ae-bb8c-d57e95d652ce
Rádio Dance Music Anos 2000,Brasil • Português • Pop,Brazil,Sao Paulo (Brazil),"00s,dance,edm,electronic,techno,trance",https://cloud1.cdnseguro.com:2190/;,https://gerador.cdnseguro.com/uploads/a47db5e2840d0a3d0a6280c0356bf1e2-1613775519.jpg,https://www.dancemusic2000.com/,Português,BR,55594c6e-bd3d-42ac-ab88-edc155ba303f
Rádio Hits 87.9 FM,Brasil • Português • Pop,Brazil,MG,community radio,https://stm24.srvaudio.com.br:10082/stream?1771863883280,https://img.radios.com.br/radio/lg/radio68243_1524591330.png,http://www.hitsfmbetim.com.br/,Português,BR,f0ecd1c1-2e07-43dd-82a5-5091822b079d
"Radio Ilha FM 107,1",Brasil • Português • Pop,Brazil,,pop,https://casthttps.suaradionanet.net/13325/stream,,https://www.ilhafm.com.br/,Português,BR,0c573ee6-c784-46c6-a9e2-474456134355
"Jovem pan 100,9 FM feira de Santana",Brasil • Português • Pop,Brazil,Bahia,"jovem,pop rock",https://8046.brasilstream.com.br/stream,https://www.radios.com.br/aovivo/radio-jovem-pan-1009-fm/13358,https://jovempan.com.br/afiliada/feiradesantana-fm,Português,BR,cfcd4939-2052-45fc-b2a2-54680decef18
ADORA MIX,Brasil • Português • Pop,Brazil,Minas Gerais,"gospel,hits,notícias",https://stream-178.zeno.fm/dapc6eho8szuv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJkYXBjNmVobzhzenV2IiwiaG9zdCI6InN0cmVhbS0xNzguemVuby5mbSIsInRtIjpmYWxzZSwicnR0bCI6NSwianRpIjoiUWREZVNoeUhRTWl4ZUwydUd5X0xLQSIsImlhdCI6MTc4MDYyNjk2NSwiZXhwIjoxNzgwNjI3MDI1fQ.IZrf69ouCVyW_XkZSYPzTtku0ldpslp1VOwDWrV0pJQ,https://stream.zeno.fm/dapc6eho8szuv,https://stream.zeno.fm/dapc6eho8szuv,Português,BR,90801be6-b2c0-434f-aab0-8c160d714d90
Radio Animu [MP3 320Kbps],Brasil • Português • Pop,Brazil,,"anime,anime openings,japanese anime soundtracks game jpop vgm ost,song requests",https://stream.animu.moe/320,https://animu.moe/favicon.ico,https://animu.moe/,Português,BR,a72e7bd3-72a5-462f-8bcd-edeeb60fb063
101.9 Radio Educativa - Campinas,Brasil • Português • Pop,Brazil,SP,pop & samba - antigas,http://streaming.ima.sp.gov.br:8000/educativa.mp3,,http://www.educativa.fm.br/,Português,BR,085fb651-592e-426f-8fd7-cbc968d2d08c
Alpha FM 90.1 Curitiba p PR,Brasil • Português • Pop,Brazil,Paraná(Brazil),adult contemporary,https://radio901.webnimbus.cloud/radioalpha/icecast.audio,,https://radioalphacuritiba.com.br/,Português,BR,d4e2ea20-500a-4f8f-a1cc-c7b53698df18
MGT LOVE HITS,Brasil • Português • Pop,Brazil,Brasil,"hits,love,love hits,mgt",https://cast.mgtradio.net/radio/8010/aac,https://www.mgtradio.net/images/ouvir-radio-online.png,https://www.mgtradio.net/,Português,BR,360ca421-3424-43a5-ae9e-9a239f6db472
Rádio Itapoá Fácil,Brasil • Português • Pop,Brazil,,"brazilian music,comedy music,folk,folk brasileiro,forró,gaúcha,itapoá,mpb,música animada,música autoral,música brasileira,música divertida,música gaúcha,música humorística,música independente,música popular,música regional,novelty music,paródia,pop brasileiro,regional brazilia,santa catarina,sertanejo,vaneira,vanerão,xote",https://cast5.hoost.com.br:8175/stream,http://itapoafacil.com.br/radio/favicon.png,https://itapoafacil.com.br/radio/,Português,BR,c95bc569-16c4-477f-b8d2-672e4dc543e4
97 FM Natal,Brasil • Português • Pop,Brazil,Rio Grande do Norte,"arrocha,forró,forró e sertanejo,pisadinha,pop,sertanejo,vaquejada",https://azevedo.jmvstream.com/stream,,https://97fmnatal.com.br/,Português,BR,d0eddde0-9105-4af6-a61b-9679ed8ba96d
